pid,zipcodes
10092_2017,"71925, 25514, 70295, 62379, 32991, 52983, 39497, 08246, 77686, 04114"
10093_2017,"74209, 16601, 02680, 71164, 80822, 68538, 30038, 87965, 64112"
10094_2017,"04699, 69635, 76212, 37603"
10095_2017,"73794, 96141, 19082, 27993"
10096_2017,"67984, 97241, 28943, 69228, 60663, 15002"
10097_2017,"50113, 99520, 10485, 02442, 22547, 43286, 51631"
10098_2017,"58013, 91553"
10099_2017,"63821, 46112, 64167, 93056, 55875, 67250, 75679, 56593, 92116, 53156"
10100_2017,"40501, 75530, 17648, 76557, 67912, 35580, 28727, 45529, 35891, 52930"
10101_2017,"35139, 03423"
10102_2017,"40808, 11222, 45743"
10103_2017,"34917, 44816, 89321, 00876, 41622, 32748, 00689, 67753"
10104_2017,"29459, 44518"
10105_2017,07905
10106_2017,"72106, 72384, 88991, 71772, 82182, 32694, 94563, 94146, 42929, 34402"
10107_2017,48503
10108_2017,"53171, 21210, 35644, 06214, 88126, 93744"
10109_2017,"46274, 15690, 24409"
10110_2017,"68174, 26151, 52302, 59697"
10111_2017,"08907, 36016, 80373, 30297"
10112_2017,"44050, 86375, 10408, 30656, 19927, 16084, 19314, 53602, 18064"
10113_2017,"89843, 88230, 65394, 31774, 58525, 49741, 86406, 85978, 10136, 50699"
10114_2017,"61196, 79457"
10115_2017,"87648, 53560, 58500, 77677, 02176"
10116_2017,"19441, 93722, 04986, 63379, 64736"
10117_2017,"24598, 76811, 03838, 37264, 67515, 72995, 19210, 98715, 20788, 40363"
10118_2017,"08876, 01190"
10119_2017,"22060, 31266, 56284"
10120_2017,"16712, 39111, 96970, 85458, 46223, 82455, 13218"
10121_2017,"33391, 95848, 06343, 93497, 82732, 45471, 68332, 92582, 39881, 81867"
10122_2017,"04554, 99895, 60603, 54566, 40552, 11684, 37213, 57381"
10123_2017,"21716, 86599"
10124_2017,"54203, 46594, 99384, 41864, 87130"
10125_2017,43984
10126_2017,"28735, 63626"
10127_2017,"21996, 16006, 87272, 92329, 32578"
10128_2017,"02545, 84074, 08254, 64707, 47878, 26243, 59210, 16994"
10129_2017,"15923, 64619"
10130_2017,"52095, 94738"
10131_2017,"44401, 33716, 90118, 23357, 65589, 96453, 49237"
10132_2017,"87248, 80954, 22482"
10133_2017,"72176, 02639, 39663, 82676, 51076, 73720, 31172, 23198, 63570"
10134_2017,"87382, 05056, 87633, 09172"
10135_2017,"84864, 02434"
10136_2017,"86083, 30751"
10137_2017,"88966, 57810, 53599, 88282, 07044, 09509, 04989, 65659, 15913, 37481"
10138_2017,"27488, 64157, 15215, 69194"
10139_2017,"51444, 82835"
10140_2017,"13273, 38774, 81442, 48372, 82126, 18417, 65905, 33058, 44154, 63826"
10141_2017,"53107, 01749, 25086, 82681, 88373, 73358, 93890, 66358"
10142_2017,"08043, 31461, 14818, 84723, 77303, 80946, 17411"
10143_2017,"73235, 08258, 46230, 95762, 78428, 02149, 78811"
10144_2017,43746
10145_2017,"51969, 88918, 18942, 52280, 97350, 72235, 20568, 02965"
10146_2017,"14299, 37535, 86508, 95975, 11298, 43226, 44582, 94792"
10147_2017,"79820, 28691"
10148_2017,"33606, 03755"
10149_2017,83203
10150_2017,"39232, 77165, 58733, 12549, 81304, 47179, 44970, 48748"
10151_2017,"99078, 67549, 25529, 07790, 94525, 37323, 21692, 28395, 93377, 15164"
10152_2017,"19162, 99158, 84543, 95580, 85479, 54882, 51812, 75347, 92755"
10153_2017,"24866, 14896"
10154_2017,"71225, 48340, 22934, 14229, 81767, 36231, 86054"
10155_2017,"69752, 32018, 60527, 40325"
10156_2017,"24262, 16213, 15105, 48265, 65667, 89329, 22288, 90159, 20911"
10157_2017,"28160, 10019, 20894, 91652"
10158_2017,"84079, 47664, 24602, 02584, 82361, 59378"
10159_2017,"54307, 40605, 96491, 93553, 20361, 15672, 02952, 95568"
10160_2017,"63343, 41165, 58490, 64157, 03486, 89941, 73064"
10161_2017,"75154, 95763, 96954, 66650, 29631, 53098, 74349, 07514, 47852"
10162_2017,"51977, 56609, 79853, 54968, 95943, 39333, 72482, 16952, 57738"
10163_2017,"37654, 11310, 66570, 04888, 37418, 54862"
10164_2017,"27623, 26944, 84931, 40336, 25523"
10165_2017,"36891, 74234, 04794, 90260, 88699, 97915, 72817"
10166_2017,"01345, 02777, 20278, 52248, 66991, 45549, 12462, 41941, 84121"
10167_2017,"30855, 68254, 33146, 73742, 25722, 55132, 89879, 85166, 24358"
10168_2017,"45217, 59818, 91489, 87969, 12509, 08448, 56521, 77904"
10169_2017,"98562, 63476, 17992, 58574, 73206, 78747"
10170_2017,"06651, 89088, 23887, 17230, 77784"
10171_2017,"10092, 48424, 40486, 10955"
10172_2017,"16087, 36768"
10173_2017,"08492, 76924, 68925, 29140, 15697, 38569, 49520, 30078, 76766, 11024"
10174_2017,"84614, 51431, 67441, 97120, 68827, 45096, 16964, 01328"
10175_2017,"45639, 86630"
10176_2017,"29161, 35349, 88799, 88717, 14071, 14535, 77895, 90495, 37703"
10177_2017,"18686, 04901, 40024, 61831, 29126, 62607, 33500"
10178_2017,"81591, 73977, 74847, 72905, 14726, 10066, 76485, 12136"
10179_2017,"38294, 79245, 48045, 83079, 42838, 93032"
10180_2017,35851
10181_2017,"58326, 55070, 63205, 03560, 15551"
10182_2017,"35688, 02868"
10183_2017,"83741, 83481, 10714, 90339, 64995, 30125, 69359, 83031"
10184_2017,"22884, 15207, 15610, 99074, 99034, 83787, 50440, 60045"
10185_2017,"07957, 01382, 35332, 25517, 26457, 34774, 85426"
10186_2017,"16159, 57267, 34885"
10187_2017,"90415, 75710, 47975, 24109, 05402, 93202, 67634, 75246"
10188_2017,"80819, 13421"
10189_2017,"41852, 55062, 79172, 30137, 92187, 56222"
10190_2017,"85592, 44742, 80631, 16925, 34839"
10191_2017,"48731, 36437, 59985, 01665, 03753, 01131, 66273, 30345, 78383"
10192_2017,"56896, 11392, 42995, 78499"
10193_2017,"34119, 63181, 37630, 25731, 56457, 33519, 41084"
10194_2017,"81251, 95934, 03277, 84688, 33604, 51357, 82991, 50509, 10902"
10195_2017,"94227, 69432, 28029, 80066, 62417, 35595, 47826, 47411"
10196_2017,"18448, 24349, 75881"
10197_2017,"72892, 21010, 20355, 85964, 82369"
10198_2017,56572
10199_2017,"59928, 39944"
10200_2017,"65687, 23892, 15146, 42260, 16336, 47552"
10201_2017,"59653, 37022, 02945, 10679, 03057, 19225, 48748, 96924, 67005, 22751"
10202_2017,"88788, 57829, 79888, 08695, 31532, 76993, 79528, 43649, 64534"
10203_2017,"88273, 08769, 95946, 35157"
10204_2017,"46314, 02627, 82448, 25178, 32157, 49202, 59756, 28954, 72675, 09024"
10205_2017,"36356, 59507, 77665, 35794, 76205, 76621"
10206_2017,66890
10207_2017,"87414, 89332, 20031, 97745, 98364, 82283, 91735, 17929, 63882"
10208_2017,"05719, 39053"
10209_2017,"28658, 17446, 35208, 14929"
10210_2017,"78875, 23929, 33747, 46746, 91776, 82351, 57540"
10211_2017,"25240, 96512, 63530, 27543, 60528, 68657, 10134, 32990, 65737"
10212_2017,"32410, 78638, 56973, 11714, 42431, 71410, 11744, 38483, 85814"
10213_2017,"19093, 98060, 27338, 68810, 58971, 76365, 81905"
10214_2017,"17675, 80753, 49111"
10215_2017,"34478, 13614, 45238, 79063, 25573, 41931"
10216_2017,"58142, 74969, 05022, 63908, 72625, 04060"
10217_2017,"04225, 91106, 43373, 94671, 76560, 22779, 28651, 02994, 68731"
10218_2017,73144
10219_2017,"41678, 45240, 04593, 07326, 07589, 06827, 35117, 33856, 89359, 34894"
10220_2017,"83764, 83867, 44446, 55369"
10221_2017,"73311, 60988, 32046, 09638, 92153"
10222_2017,"95817, 29665, 88390, 30307"
10223_2017,"54959, 15755"
10224_2017,"58035, 44666, 07897, 92665, 37653, 72743, 52009, 25186"
10225_2017,"99869, 61140, 69303, 55710, 95966, 27830, 18061"
10226_2017,"39737, 27848, 11331, 97031, 75454"
10227_2017,"12975, 79994, 17267"
10228_2017,"66651, 79749, 64644"
10229_2017,"05998, 93566, 56353, 09648, 70173"
10230_2017,"33637, 08237, 05356"
10231_2017,"27887, 73582, 19436, 82823"
10232_2017,"30907, 12733, 00829, 16972, 06940, 08266, 10212, 83940, 62495"
10233_2017,"58915, 72247, 02844, 82967"
10234_2017,47027
10235_2017,03670
10236_2017,"99488, 21826, 69776, 25609"
10237_2017,"95709, 34396, 35958, 34878"
10238_2017,"31808, 54998, 52667, 33401, 35700, 05424, 58086, 95191"
10239_2017,"66917, 64754, 38139, 08679, 76923, 73678, 79989, 68168, 57198"
10240_2017,"90980, 01846, 72986"
10241_2017,"36081, 21279, 57450"
10242_2017,"72153, 09059, 83642, 44543, 33888, 46125, 21796"
10243_2017,"07816, 37266, 89762, 92837, 78723, 35393, 70635, 29737, 74607"
10244_2017,"70670, 86277, 30699, 18136, 08390, 27270, 96534, 88623, 64541"
10245_2017,"83520, 08094"
10246_2017,"67844, 56110, 24098, 04098"
10247_2017,"41283, 61864"
10248_2017,"53477, 72411, 28030, 24946, 73122, 95091, 53198, 43357"
10249_2017,29882
10250_2017,"53690, 36521, 21696, 04653, 35596"
10251_2017,62488
10252_2017,64004
10253_2017,"18311, 18892"
10254_2017,"25276, 85105, 73404, 16278, 25495, 64801, 61441, 22766"
10255_2017,"51059, 53343, 71249"
10256_2017,"11046, 29435"
10257_2017,"15930, 45869, 16547, 40303, 27621, 69754, 06768, 78679, 99809"
10258_2017,"40596, 63537, 88909, 76455, 80191, 59482, 51619, 77455, 97671"
10259_2017,"57982, 45687, 07481"
10260_2017,"73667, 73425, 36199, 57150, 80407, 03773, 32469, 89679"
10261_2017,91057
10262_2017,"26299, 34366, 40427, 03070, 26515, 16109, 33775, 94251"
10263_2017,"87196, 00894, 37450, 04827, 62118, 64653, 37326, 88327, 03039"
10264_2017,58073
10265_2017,"41370, 36231"
10266_2017,39221
10267_2017,"27861, 71703, 31501, 50146, 82843, 11473"
10268_2017,"50539, 75391, 32852, 43896, 12695, 95309, 74462"
10269_2017,"52198, 10345, 52951"
10270_2017,"21358, 56892, 71194, 72846, 17413, 66907, 07739, 46483, 08058, 34444"
10271_2017,"02600, 15688, 46705, 42933"
10272_2017,"35438, 91867, 96648, 14880"
10273_2017,"98352, 35838, 57375, 46582, 54827, 35535, 66075, 35003"
10274_2017,"13108, 66501, 28085, 30022, 16561, 13732, 96115, 56777"
10275_2017,"01185, 87624, 44673, 15395, 47707, 29297, 08990"
10276_2017,"65365, 44473, 52132, 37206, 51887, 05239, 06676"
10277_2017,"71898, 02824, 95672, 32557"
10278_2017,"22360, 87018, 72478, 58317, 71702, 46347, 94907, 04646, 58489, 52669"
10279_2017,"58979, 71822, 56683, 80367, 82512, 21356, 39325"
10280_2017,"04486, 97177, 24078, 61927, 37785, 33045, 72844, 71896, 57560, 46715"
10281_2017,"36623, 59959, 15003, 91626, 95743"
10282_2017,"89749, 09988, 51032"
10283_2017,"74962, 70605, 44612"
10284_2017,"50441, 14947"
10285_2017,"34060, 66634, 93455, 50669, 57976, 77507"
10286_2017,"04235, 57865, 65976, 76862, 16421, 48027, 59917, 59073, 98488"
10287_2017,"82986, 21215, 81288, 11173, 03166, 74097, 43005, 22851"
10288_2017,"98645, 68193, 32586, 25511, 38897, 58799, 68947, 79144, 28196, 98469"
10289_2017,"61549, 70540"
10290_2017,"72441, 96192"
10291_2017,"79680, 28477, 20550, 30527, 86970, 14209, 66741, 28735"
10292_2017,"72344, 48492, 52550, 24225, 12164, 81758, 76637, 15201"
10293_2017,"16961, 36508, 93780, 13790, 58534, 19056"
10294_2017,"58842, 16928, 89225, 46063"
10295_2017,"06814, 86584, 51959, 76694, 88213, 80134, 16835"
10296_2017,"06329, 72967, 67784, 29074"
10297_2017,"07219, 37770, 50253, 31102, 50066, 24359, 68034, 75430, 41336"
10298_2017,"16624, 72449, 72343, 16015"
10299_2017,"91333, 05004, 04058, 06351, 41878, 70113, 25484"
10300_2017,"45835, 76368"
10301_2017,"63981, 79894, 73531, 47494, 86388"
10302_2017,"46946, 89781, 04596, 15204, 78848"
10303_2017,"22644, 43768, 81697, 15272, 67774, 37531, 23390, 78108, 49368, 82322"
10304_2017,"90013, 71793, 96837, 21151, 56700, 88416, 61361, 61919, 14974, 32628"
10305_2017,"14062, 08278, 39946"
10306_2017,"76335, 55158, 21630, 85775, 17525, 86632, 37555, 29357, 55493, 52618"
10307_2017,"62057, 49819"
10308_2017,"75790, 37569"
10309_2017,"44053, 97056, 14885, 02009, 59762, 70196, 38423, 35295, 57680"
10310_2017,"47298, 62144, 69257"
10311_2017,99910
10312_2017,"65613, 47389, 73438, 77806, 73553, 38400, 88799, 10468, 23468, 69442"
10313_2017,"16673, 32289, 93596, 51702, 19794"
10314_2017,"39631, 92159"
10315_2017,"99782, 49543, 38102, 80653, 59075, 61071, 90654, 13563, 37893, 76379"
10316_2017,"64034, 69465, 88352, 44286, 46408, 19053"
10317_2017,"67685, 75952, 00794"
10318_2017,"17865, 55558, 32149, 13480, 27201"
10319_2017,"68791, 22526"
10320_2017,"43816, 56829, 30773, 97389"
10321_2017,82688
10322_2017,"02434, 96627, 46801, 83051, 37307, 21842, 04982, 54427, 88110"
10323_2017,"71619, 29092, 24347, 03915, 80705, 20211, 91405, 65998, 58832, 95693"
10324_2017,"77919, 52284, 73940, 48272, 48109"
10325_2017,"22432, 55359, 56738, 57662, 79764, 94206, 33672, 88889, 97921, 42168"
10326_2017,"10375, 82183, 22027, 14805, 34156, 83557, 78767, 72561, 03416"
10327_2017,"29823, 09383, 25761, 77270, 56410, 88230, 76663, 55465"
10328_2017,"01038, 10360, 59096, 83605, 13077, 11134, 05432, 52332, 41458"
10329_2017,"06649, 56904, 39224, 69383, 05025, 37903, 19546, 70060, 17057, 19064"
10330_2017,"55610, 60855, 55743, 53764"
10331_2017,"46065, 61038, 23026, 34459, 80180, 31822, 06906, 73198"
10332_2017,"48390, 93591, 26792"
10333_2017,"52436, 14466, 37705, 87576, 64763, 33292, 99853, 86614"
10334_2017,"52303, 44049, 52161, 32151, 97266, 55228, 71498"
10335_2017,"21185, 68957, 32777, 65899, 70011"
10336_2017,"17018, 03432, 70401, 48997, 65533, 41275, 30179, 52734"
10337_2017,"02742, 81915, 12382, 27366, 81469, 92032"
10338_2017,"32447, 78744"
10339_2017,"32459, 07537"
10340_2017,"87023, 10374, 92185, 11512, 93332"
10341_2017,"45077, 71116, 57280"
10342_2017,"90854, 93402, 92001"
10343_2017,"16017, 35880, 53003"
10344_2017,"38546, 30525, 43383, 66876, 88818, 01664, 90351, 46647, 71908"
10345_2017,32940
10346_2017,"43719, 31518, 05289, 61477, 52526, 89299, 99531, 89028"
10347_2017,"87596, 60657, 53616"
10348_2017,67633
10349_2017,"57355, 05873, 85039"
10350_2017,"39693, 26524, 95796"
10351_2017,"95876, 05784, 23016, 11421, 04055, 38552, 41428, 69383, 68045"
10352_2017,"85881, 67456, 12807, 21525, 88184"
10353_2017,"49317, 85831"
10354_2017,"40780, 21452"
10355_2017,"15122, 77338"
10356_2017,"38195, 96359, 22019, 49136, 56368, 18018, 87230, 72279"
10357_2017,"67101, 34958"
10358_2017,"12477, 87794, 63490, 65386, 16575, 00651, 26014, 72565, 93721, 40374"
10359_2017,"44946, 53497, 27082, 27900, 08527, 79534, 90812"
10360_2017,"26039, 69976, 70396"
10361_2017,"33952, 25419, 77611, 56028"
10362_2017,"34370, 89331, 12089, 96772, 04088"
10363_2017,"60100, 13290, 80093, 14554, 57354, 79734, 80665, 23460, 74759, 53066"
10364_2017,"82080, 86303, 04998"
10365_2017,"68519, 59235, 68411, 18000, 86894, 83714"
10366_2017,"47969, 13805, 11235"
10367_2017,"60092, 52545, 57943, 31658, 68516, 66149, 01656"
10368_2017,"38187, 67573, 83676, 30631"
10369_2017,"52214, 50881, 76635, 37354, 64912, 67184, 43499, 32937, 76587, 04268"
10370_2017,"28297, 60095, 23326"
10371_2017,"38844, 69895, 66095, 57690"
10372_2017,"03022, 73439, 37017, 62883, 56183"
10373_2017,"71805, 43839, 72808, 68269, 76706, 75073, 56097, 98269, 68873"
10374_2017,"63152, 24008"
10375_2017,"15435, 67530"
10376_2017,"06935, 12007, 40082, 75652"
10377_2017,"16977, 59053, 86292, 03283, 51742, 52901, 58581, 77999"
10378_2017,"53460, 09124, 24092"
10379_2017,"93268, 27160, 68103, 35933"
10380_2017,"96071, 40383, 16588, 41630, 99647, 43182"
10381_2017,"36908, 34761, 54270, 43616, 52490, 27863, 39895, 54726, 04838"
10382_2017,"77235, 52665, 07519, 65732, 13302, 68207"
10383_2017,04815
10384_2017,"10502, 47571, 91289, 27894, 24419, 26098, 83008, 52059, 03502"
10385_2017,"26516, 18331, 50644, 02582, 32737, 59750, 08203, 42465"
10386_2017,"78774, 50243"
10387_2017,"86669, 81783, 83864, 41448, 27549"
10388_2017,"15795, 27580, 35260"
10389_2017,"29492, 43296, 86507, 49359, 33374, 26358, 48918"
10390_2017,"94773, 30607, 64412, 89775, 28180, 62738, 57916"
10391_2017,"36649, 60001, 78057, 16497, 37679"
10392_2017,"00947, 03621, 92297, 08201, 29796, 53986"
10393_2017,"41287, 29106, 68607, 03126, 86089, 13771"
10394_2017,"91301, 46349, 67638, 53593, 01515, 27497"
10395_2017,"14441, 32690, 32346"
10396_2017,"10441, 21457, 29515, 61389, 40640, 18351, 32592"
10397_2017,"26864, 06184, 84674, 70405"
10398_2017,"67486, 37400, 69621, 93113, 80110, 85851, 92021, 30117"
10399_2017,"02961, 10762, 81775, 63156"
10400_2017,21851
10401_2017,"15425, 30307, 63820, 63753"
10402_2017,"11749, 79485, 19071, 36618, 25712"
10403_2017,"33337, 82390, 57302"
10404_2017,"32369, 18899, 45976, 99897, 69555, 95675, 05259, 54654, 16255"
10405_2017,"32580, 99334, 50628, 84201, 16394, 25818, 05842, 88588, 97547, 46317"
10406_2017,"23022, 75188, 38722"
10407_2017,"49457, 39966, 84833, 78900, 23633, 63306, 73493"
10408_2017,"88109, 43871, 86925, 20682, 70695, 97705, 17785, 24966, 39179"
10409_2017,"82289, 98730, 67811, 77309, 47843, 94420, 85347, 81701, 66225"
10410_2017,93640
10411_2017,"07147, 50529, 02738, 52379, 49175, 12745, 93287"
10412_2017,36421
10413_2017,"38359, 29246, 36947, 11934, 73640, 16522, 43735"
10414_2017,"50703, 30811, 26979, 63692, 91810, 48669, 08538, 74619, 67623"
10415_2017,92673
10416_2017,"98442, 38667, 22250, 97646, 61809, 24921, 32242, 58383, 55545"
10417_2017,"08586, 80104, 51519, 99044, 48545, 06868, 74073, 15922, 67336, 89239"
10418_2017,"21904, 11048, 15191, 47997, 82988"
10419_2017,"34034, 20110, 30920, 60079, 29542, 76933, 10206, 80561, 46641, 88457"
10420_2017,"79959, 11503, 23720"
10421_2017,"95820, 34668, 49323, 76887"
10422_2017,"13510, 64176, 24477, 36764"
10423_2017,"43938, 33227, 51747, 76092, 05670, 12903, 25659"
10424_2017,"40004, 11382, 87551, 84578, 16568"
10425_2017,"35152, 00799, 11453, 70499, 25885, 00998, 50642, 93883"
10426_2017,"61532, 63289, 99830, 34796, 52468, 33623, 56540"
10427_2017,48464
10428_2017,"38700, 45804, 57235, 15038, 54881, 51123"
10429_2017,"38550, 81109, 71888, 74300, 69774, 01577, 65874, 10249, 87019, 91790"
10430_2017,"15489, 44307, 83724, 35519, 40175, 08746, 20607, 69065, 59495"
10431_2017,"42436, 19593, 63803, 07865, 86245"
10432_2017,63597
10433_2017,"29841, 25874"
10434_2017,"74871, 30324, 33111, 37608, 92071, 49190, 24471, 78975, 50135"
10435_2017,"13979, 33280, 18424, 74731, 65634, 44088, 31933, 72880, 58911"
10436_2017,"46195, 81616, 32255, 54167"
10437_2017,"56334, 31235"
10438_2017,"42126, 46885, 70825, 76442, 13082, 57397, 66502, 73631, 75777, 44239"
10439_2017,"43509, 80836, 37818"
10440_2017,"99431, 02730, 82619, 27968, 88536, 18664, 87369, 96721, 21476"
10441_2017,"55515, 11626, 60595"
10442_2017,"82642, 99648, 09194, 95978, 27592, 78336, 34853"
10443_2017,"84131, 93970"
10444_2017,"65269, 66437"
10445_2017,"60623, 82167, 18463, 85542, 52663, 55995, 10029"
10446_2017,"31910, 22072"
10447_2017,"59937, 10843"
10448_2017,"22733, 95436, 13008, 28181, 50884, 13774, 95561"
10449_2017,"52538, 95243, 13559, 28826"
10450_2017,"24603, 11266, 25784, 71723, 06567"
10451_2017,"63884, 18323, 90291, 60678"
10452_2017,"65602, 28624, 28705, 52818, 15870"
10453_2017,"10780, 84354, 64267, 79512, 69776, 93454, 85449, 10014, 13168, 65158"
10454_2017,"18940, 82090, 58498, 17945, 70132, 11320"
10455_2017,09492
10456_2017,"69357, 07445, 03426, 77747, 36121, 33786, 12760, 43873, 11694, 45790"
10457_2017,"45783, 44613, 43453, 02873, 97883, 79625, 39889, 95797"
10458_2017,"66165, 22744, 40980, 34278, 32741, 22931"
10459_2017,"89854, 48403"
10460_2017,"29595, 34370"
10461_2017,"90811, 59817, 41445, 53495, 33874, 06100, 09781, 86121"
10462_2017,"34870, 50493, 24697, 05076"
10463_2017,"69237, 41512, 59118, 85460, 57974, 01844, 95373"
10464_2017,"43358, 03912"
10465_2017,"62715, 16777, 65108, 53296, 39867, 02482, 33436, 52543"
10466_2017,"65380, 19854, 90416, 16764, 25088, 31088"
10467_2017,"81723, 68934, 31002, 06859"
10468_2017,"81873, 38595, 17506, 82517, 47012"
10469_2017,"56917, 08692, 98164, 69894"
10470_2017,11129
10471_2017,"17013, 80693, 71739, 08600, 55063, 60652"
10472_2017,"14416, 39010, 43101"
10473_2017,"56736, 06327, 03914, 01101, 78815, 40369, 35805, 04142"
10474_2017,"36646, 17834, 79552, 64561, 13830, 68186, 95348, 14544, 26279"
10475_2017,"20271, 80791"
10476_2017,"04293, 66203, 05870, 89471, 00550, 98810, 22288"
10477_2017,"41988, 58717, 40002, 91494, 13465, 76507, 85372, 33933"
10478_2017,"82639, 98500, 99699, 41800, 81135, 68106, 18226"
10479_2017,"78780, 52245, 77478, 18746, 13940, 41723"
10480_2017,01296
10481_2017,16127
10482_2017,"46936, 15797, 35502, 98816, 64450, 67011, 03447"
10483_2017,"22282, 06801, 57836, 97785, 94560, 86558, 99242, 82395, 41914, 26381"
10484_2017,"24348, 33681, 68967, 96959, 26875, 80351, 67699, 75357, 31890"
10485_2017,"20050, 08521, 78455, 82660, 40150, 79082"
